Designator,Mid X,Mid Y,Rotation,Layer
MX18,280.9875,-38.1,180.0,bottom
MX19,271.4625,-57.15,180.0,bottom
MX2,338.1375,-38.1,180.0,bottom
MX20,266.7,-76.2,180.0,bottom
MX21,276.225,-95.25,180.0,bottom
MX22,261.9375,-9.525,180.0,bottom
MX23,261.9375,-38.1,180.0,bottom
MX24,252.4125,-57.15,180.0,bottom
MX25,247.65,-76.2,180.0,bottom
MX26,257.175,-95.25,180.0,bottom
MX27,242.8875,-9.525,180.0,bottom
MX28,242.8875,-38.1,180.0,bottom
MX29,233.3625,-57.15,180.0,bottom
MX3,333.375,-57.15,180.0,bottom
MX30,228.6,-76.2,180.0,bottom
MX31,238.125,-95.25,180.0,bottom
MX32,216.69375,-114.29305,180.0,bottom
MX33,214.3125,-9.525,180.0,bottom
MX34,223.8375,-38.1,180.0,bottom
MX35,214.3125,-57.15,180.0,bottom
MX36,209.55,-76.2,180.0,bottom
MX37,219.075,-95.25,180.0,bottom
MX38,195.2625,-9.525,180.0,bottom
MX39,204.7875,-38.1,180.0,bottom
MX4,330.99375,-76.2,180.0,bottom
MX40,195.2625,-57.15,180.0,bottom
MX41,190.5,-76.2,180.0,bottom
MX42,200.025,-95.25,180.0,bottom
MX43,176.2125,-9.525,180.0,bottom
MX44,185.7375,-38.1,180.0,bottom
MX45,176.2125,-57.15,180.0,bottom
MX46,171.45,-76.2,180.0,bottom
MX47,180.975,-95.25,180.0,bottom
MX48,157.1625,-9.525,180.0,bottom
MX49,166.6875,-38.1,180.0,bottom
MX5,326.23125,-95.25,180.0,bottom
MX50,157.1625,-57.15,180.0,bottom
MX51,152.4,-76.2,180.0,bottom
MX52,161.925,-95.25,180.0,bottom
MX53,145.25625,-114.3,180.0,bottom
MX54,128.5875,-9.525,180.0,bottom
MX55,147.6375,-38.1,180.0,bottom
MX56,138.1125,-57.15,180.0,bottom
MX57,133.35,-76.2,180.0,bottom
MX58,142.875,-95.25,180.0,bottom
MX59,121.44375,-114.3,180.0,bottom
MX6,335.75625,-114.3,180.0,bottom
MX60,109.5375,-9.525,180.0,bottom
MX61,128.5875,-38.1,180.0,bottom
MX62,119.0625,-57.15,180.0,bottom
MX63,114.3,-76.2,180.0,bottom
MX64,123.825,-95.25,180.0,bottom
MX65,97.63125,-114.3,180.0,bottom
MX66,90.4875,-9.525,180.0,bottom
MX67,109.5375,-38.1,180.0,bottom
MX68,100.0125,-57.15,180.0,bottom
MX69,71.4375,-9.525,180.0,bottom
MX7,319.0875,-38.1,180.0,bottom
MX70,80.9625,-38.1,180.0,bottom
MX71,76.2,-57.15,180.0,bottom
MX72,83.34375,-76.19305,180.0,bottom
MX73,88.10625,-95.25,180.0,bottom
MX74,73.81875,-114.3,180.0,bottom
MX75,47.625,-9.525,180.0,bottom
MX76,47.625,-38.1,180.0,bottom
MX77,47.625,-57.15,180.0,bottom
MX78,47.625,-114.3,180.0,bottom
MX79,28.575,-9.525,180.0,bottom
MX8,309.5625,-57.15,180.0,bottom
MX80,28.575,-38.1,180.0,bottom
MX81,28.575,-57.15,180.0,bottom
MX82,28.575,-95.25,180.0,bottom
MX83,28.575,-114.3,180.0,bottom
MX84,9.525,-9.525,180.0,bottom
MX85,9.525,-38.1,180.0,bottom
MX86,9.525,-57.15,180.0,bottom
MX87,9.525,-114.3,180.0,bottom
MX9,304.8,-76.2,180.0,bottom
R1,139.857807,-10.683528,0.0,bottom
R2,145.909107,-10.693784,180.0,bottom
R3,132.3975,-23.8125,0.0,top
R4,25.55875,-67.78625,0.0,top
R5,4.445,-104.29875,270.0,top
R6,40.515,-93.725,90.0,top
R7,31.27375,-66.3575,0.0,top
R8,34.44875,-66.3575,180.0,top
U1,127.15875,-20.6375,0.0,top
U2,142.875,-13.97,90.0,bottom
U3,39.21125,-76.35875,0.0,top
U4,15.71625,-69.37375,0.0,top
U6,2.2225,-104.93375,270.0,top
X1,18.0975,-105.41,180.0,top
Y1,23.01875,-74.295,270.0,top
